日期,代码,名称,开盘,收盘,最高,最低,成交量,成交额,上涨家数,下跌家数
1990-12-19,000001,上证指数,96.05,99.98,99.98,95.79,1032.0,494000.0,8,0
1990-12-20,000001,上证指数,104.3,104.39,104.39,99.98,32768.5,84000.0,3,0
1990-12-21,000001,上证指数,109.07,109.13,109.13,103.73,5.877471754111438e-39,16000.0,5,0
1990-12-24,000001,上证指数,113.57,114.55,114.55,109.13,5.877471754111438e-39,31000.0,6,0
1990-12-25,000001,上证指数,120.09,120.25,120.25,114.55,5.877471754111438e-39,6000.0,5,0
1990-12-26,000001,上证指数,125.27,125.27,125.27,120.25,32768.5,53000.0,3,0
1990-12-27,000001,上证指数,125.27,125.28,125.28,125.27,5.877471754111438e-39,104000.0,1,0
1990-12-28,000001,上证指数,126.39,126.45,126.45,125.28,32768.5,88000.0,5,0
1990-12-31,000001,上证指数,126.56,127.61,127.61,126.48,5.877471754111438e-39,60000.0,5,0
1991-01-02,000001,上证指数,127.61,128.84,128.84,127.61,5.877471754111438e-39,59000.0,6,0
1991-01-03,000001,上证指数,128.84,130.14,130.14,128.84,32768.5,93000.0,5,0
1991-01-04,000001,上证指数,131.27,131.44,131.44,130.14,8194.0,261000.0,5,0
1991-01-07,000001,上证指数,131.99,132.06,132.06,131.45,2.0,141000.0,5,0
1991-01-08,000001,上证指数,132.62,132.68,132.68,132.06,29.0,1806000.0,6,0
1991-01-09,000001,上证指数,133.3,133.34,133.34,132.68,416.0,3228000.0,5,0
1991-01-10,000001,上证指数,133.93,133.97,133.97,133.34,99.0,5399000.0,4,1
1991-01-11,000001,上证指数,134.61,134.6,134.61,134.51,133.0,7115000.0,6,1
1991-01-14,000001,上证指数,134.11,134.67,135.19,134.11,125.0,6883000.0,4,1
1991-01-15,000001,上证指数,134.21,134.74,134.74,134.19,1544.0,1010000.0,3,0
1991-01-16,000001,上证指数,134.19,134.24,134.74,134.14,5.0,270000.0,3,1
1991-01-17,000001,上证指数,133.67,134.25,134.25,133.65,6.0,334000.0,2,2
1991-01-18,000001,上证指数,133.7,134.24,134.25,133.67,30.0,1570000.0,2,3
1991-01-21,000001,上证指数,133.7,134.24,134.24,133.66,20.0,1029000.0,2,1
1991-01-22,000001,上证指数,133.72,133.72,134.24,133.66,4098.0,180000.0,3,2
1991-01-23,000001,上证指数,133.17,133.17,133.72,133.14,520.0,575000.0,2,4
1991-01-24,000001,上证指数,132.61,132.61,133.17,132.57,18.0,917000.0,2,4
1991-01-25,000001,上证指数,132.05,132.05,132.07,132.03,64.0,1722000.0,2,4
1991-01-28,000001,上证指数,131.46,131.46,131.55,131.46,336.0,2565000.0,1,3
1991-01-29,000001,上证指数,130.95,130.95,130.97,130.95,1288.0,710000.0,2,3
1991-01-30,000001,上证指数,130.44,130.44,130.95,130.41,5.0,260000.0,3,3
1991-01-31,000001,上证指数,129.93,129.97,130.46,129.93,5.0,244000.0,2,3
1991-02-01,000001,上证指数,129.5,129.51,129.97,129.45,4098.0,140000.0,2,1
1991-02-04,000001,上证指数,129.05,129.05,129.58,129.05,5.0,273000.0,2,2
1991-02-05,000001,上证指数,128.56,128.58,128.58,128.53,85.0,4250000.0,2,3
1991-02-06,000001,上证指数,129.13,129.14,129.15,128.06,66.0,3847000.0,4,1
1991-02-07,000001,上证指数,129.74,129.79,129.79,129.14,21.0,1504000.0,6,0
1991-02-08,000001,上证指数,130.36,130.38,130.39,129.79,1032.0,879000.0,4,0
1991-02-11,000001,上证指数,130.92,130.97,130.97,130.39,93.0,4834000.0,4,1
1991-02-12,000001,上证指数,131.54,131.35,131.56,130.97,112.0,1986000.0,4,1
1991-02-13,000001,上证指数,131.93,131.92,131.93,131.35,776.0,673000.0,4,1
1991-02-14,000001,上证指数,132.53,132.53,132.53,132.3,96.0,1883000.0,4,1
1991-02-19,000001,上证指数,133.12,133.13,133.14,133.08,17.0,1216000.0,3,1
1991-02-20,000001,上证指数,133.63,133.67,133.67,133.13,8.0,520000.0,4,1
