date,open,high,low,close,volume,factor,amount
2010-01-04,21.830000,21.870000,21.160000,21.190000,661913,1.000000,1419984112.000000
2010-01-05,21.410000,21.580000,20.790000,21.350000,1151479,1.000000,2436890938.000000
2010-01-06,21.290000,21.300000,20.880000,20.930000,967825,1.000000,2034174032.000000
2010-01-07,20.880000,21.040000,20.300000,20.460000,852360,1.000000,1761800969.000000
2010-01-08,20.340000,20.800000,20.300000,20.690000,657076,1.000000,1349532409.000000
2010-01-11,21.600000,21.800000,20.570000,20.690000,1163048,1.000000,2456819007.000000
2010-01-12,20.630000,20.970000,20.260000,20.800000,823511,1.000000,1691919888.000000
2010-01-13,20.250000,20.350000,19.800000,19.830000,1463996,1.000000,2930936726.000000
2010-01-14,19.870000,20.020000,19.640000,19.970000,773407,1.000000,1535655470.000000
2010-01-15,20.020000,20.250000,19.720000,20.040000,691836,1.000000,1384564649.000000
2010-01-18,19.910000,20.290000,19.870000,20.240000,699402,1.000000,1408342623.000000
2010-01-19,20.250000,20.590000,20.210000,20.350000,699661,1.000000,1428370744.000000
2010-01-20,20.420000,20.530000,19.600000,19.790000,807765,1.000000,1612704739.000000
2010-01-21,19.880000,20.570000,19.760000,20.470000,934181,1.000000,1888959519.000000
2010-01-22,20.200000,21.100000,20.010000,20.900000,1544459,1.000000,3188523865.000000
2010-01-25,20.560000,20.980000,20.420000,20.460000,802327,1.000000,1658596995.000000
2010-01-26,20.490000,20.900000,20.170000,20.690000,919365,1.000000,1885519209.000000
2010-01-27,20.670000,20.800000,19.780000,19.860000,942643,1.000000,1898605119.000000
2010-01-28,19.780000,19.850000,19.380000,19.700000,586917,1.000000,1152620124.000000
2010-01-29,19.600000,20.040000,19.480000,19.620000,536901,1.000000,1062334288.000000
2010-02-01,19.620000,19.620000,19.000000,19.220000,516694,1.000000,994322854.000000
2010-02-02,19.330000,19.700000,19.170000,19.240000,489695,1.000000,951736982.000000
2010-02-03,19.310000,19.930000,19.010000,19.890000,764930,1.000000,1499985351.000000
2010-02-04,19.610000,19.890000,19.600000,19.660000,461620,1.000000,909308990.000000
2010-02-05,19.200000,19.680000,19.160000,19.420000,438959,1.000000,850183267.000000
2010-02-08,19.450000,19.500000,19.080000,19.220000,372309,1.000000,716731662.000000
2010-02-09,19.200000,19.490000,19.170000,19.420000,264961,1.000000,513741764.000000
2010-02-10,19.590000,19.750000,19.500000,19.680000,307094,1.000000,602686038.000000
2010-02-11,19.690000,19.800000,19.590000,19.640000,273754,1.000000,538434170.000000
2010-02-12,19.730000,19.880000,19.660000,19.810000,296825,1.000000,587217269.000000
2010-02-22,19.730000,19.860000,19.580000,19.680000,334307,1.000000,659002500.000000
2010-02-23,19.650000,19.650000,19.250000,19.490000,305709,1.000000,593524963.000000
2010-02-24,19.350000,19.680000,19.240000,19.660000,389783,1.000000,758532889.000000
2010-02-25,19.750000,20.800000,19.750000,20.740000,1944759,1.000000,3998875321.000000
2010-02-26,20.740000,20.740000,20.740000,20.740000,0,1.000000,0.000000
2010-03-01,20.740000,20.740000,20.740000,20.740000,0,1.000000,0.000000
2010-03-02,20.740000,20.740000,20.740000,20.740000,0,1.000000,0.000000
2010-03-03,20.740000,20.740000,20.740000,20.740000,0,1.000000,0.000000
2010-03-04,20.740000,20.740000,20.740000,20.740000,0,1.000000,0.000000
2010-03-05,20.740000,20.740000,20.740000,20.740000,0,1.000000,0.000000
2010-03-08,20.740000,20.740000,20.740000,20.740000,0,1.000000,0.000000
2010-03-09,20.740000,20.740000,20.740000,20.740000,0,1.000000,0.000000
2010-03-10,20.740000,20.740000,20.740000,20.740000,0,1.000000,0.000000
2010-03-11,21.000000,21.800000,20.900000,21.300000,2302717,1.000000,4943091130.000000
2010-03-12,21.320000,21.520000,21.020000,21.040000,749117,1.000000,1595763943.000000
2010-03-15,21.000000,21.150000,20.580000,20.680000,581273,1.000000,1208927247.000000
