date,open,high,low,close,volume,factor,amount
2010-01-04,21.83,21.87,21.16,21.19,661913,1.0,1419984112.0
2010-01-05,21.41,21.58,20.79,21.35,1151479,1.0,2436890938.0
2010-01-06,21.29,21.3,20.88,20.93,967825,1.0,2034174032.0
2010-01-07,20.88,21.04,20.3,20.46,852360,1.0,1761800969.0
2010-01-08,20.34,20.8,20.3,20.69,657076,1.0,1349532409.0
2010-01-11,21.6,21.8,20.57,20.69,1163048,1.0,2456819007.0
2010-01-12,20.63,20.97,20.26,20.8,823511,1.0,1691919888.0
2010-01-13,20.25,20.35,19.8,19.83,1463996,1.0,2930936726.0
2010-01-14,19.87,20.02,19.64,19.97,773407,1.0,1535655470.0
2010-01-15,20.02,20.25,19.72,20.04,691836,1.0,1384564649.0
2010-01-18,19.91,20.29,19.87,20.24,699402,1.0,1408342623.0
2010-01-19,20.25,20.59,20.21,20.35,699661,1.0,1428370744.0
2010-01-20,20.42,20.53,19.6,19.79,807765,1.0,1612704739.0
2010-01-21,19.88,20.57,19.76,20.47,934181,1.0,1888959519.0
2010-01-22,20.2,21.1,20.01,20.9,1544459,1.0,3188523865.0
2010-01-25,20.56,20.98,20.42,20.46,802327,1.0,1658596995.0
2010-01-26,20.49,20.9,20.17,20.69,919365,1.0,1885519209.0
2010-01-27,20.67,20.8,19.78,19.86,942643,1.0,1898605119.0
2010-01-28,19.78,19.85,19.38,19.7,586917,1.0,1152620124.0
2010-01-29,19.6,20.04,19.48,19.62,536901,1.0,1062334288.0
2010-02-01,19.62,19.62,19.0,19.22,516694,1.0,994322854.0
2010-02-02,19.33,19.7,19.17,19.24,489695,1.0,951736982.0
2010-02-03,19.31,19.93,19.01,19.89,764930,1.0,1499985351.0
2010-02-04,19.61,19.89,19.6,19.66,461620,1.0,909308990.0
2010-02-05,19.2,19.68,19.16,19.42,438959,1.0,850183267.0
2010-02-08,19.45,19.5,19.08,19.22,372309,1.0,716731662.0
2010-02-09,19.2,19.49,19.17,19.42,264961,1.0,513741764.0
2010-02-10,19.59,19.75,19.5,19.68,307094,1.0,602686038.0
2010-02-11,19.69,19.8,19.59,19.64,273754,1.0,538434170.0
2010-02-12,19.73,19.88,19.66,19.81,296825,1.0,587217269.0
2010-02-22,19.73,19.86,19.58,19.68,334307,1.0,659002500.0
2010-02-23,19.65,19.65,19.25,19.49,305709,1.0,593524963.0
2010-02-24,19.35,19.68,19.24,19.66,389783,1.0,758532889.0
2010-02-25,19.75,20.8,19.75,20.74,1944759,1.0,3998875321.0
2010-02-26,20.74,20.74,20.74,20.74,0,1.0,0.0
2010-03-01,20.74,20.74,20.74,20.74,0,1.0,0.0
2010-03-02,20.74,20.74,20.74,20.74,0,1.0,0.0
2010-03-03,20.74,20.74,20.74,20.74,0,1.0,0.0
2010-03-04,20.74,20.74,20.74,20.74,0,1.0,0.0
2010-03-05,20.74,20.74,20.74,20.74,0,1.0,0.0
2010-03-08,20.74,20.74,20.74,20.74,0,1.0,0.0
2010-03-09,20.74,20.74,20.74,20.74,0,1.0,0.0
2010-03-10,20.74,20.74,20.74,20.74,0,1.0,0.0
2010-03-11,21.0,21.8,20.9,21.3,2302717,1.0,4943091130.0
2010-03-12,21.32,21.52,21.02,21.04,749117,1.0,1595763943.0
2010-03-15,21.0,21.15,20.58,20.68,581273,1.0,1208927247.0
2010-03-16,20.63,21.2,20.51,21.19,563430,1.0,1176059947.0
2010-03-17,21.23,21.75,20.95,21.67,907404,1.0,1945888211.0
2010-03-18,21.66,22.21,21.55,21.7,889838,1.0,1948256914.0
2010-03-19,21.82,22.04,21.5,21.8,447567,1.0,974278040.0
2010-03-22,21.85,22.35,21.85,22.21,966360,1.0,2147457185.0
2010-03-23,22.25,22.43,21.89,22.0,625662,1.0,1386852319.0
2010-03-24,22.05,22.39,22.0,22.03,510929,1.0,1134210263.0
2010-03-25,21.96,21.96,21.46,21.61,525122,1.0,1139337600.0
2010-03-26,21.52,22.51,21.52,22.26,824977,1.0,1834668501.0
2010-03-29,22.45,23.12,22.31,22.98,1394993,1.0,3200058576.0
