日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
1997-08-01,000088,1.07,1.11,1.14,0.76,1934762,2238469712.0,-380.0,1210.0,1.21,166.54
1997-08-08,000088,1.17,1.11,1.26,1.04,825321,1053300352.0,19.82,0.0,0.0,71.04
1997-08-15,000088,1.09,0.92,1.09,0.85,297027,344549872.0,21.62,-17.12,-0.19,25.57
1997-08-22,000088,0.92,0.94,0.95,0.8,130064,143807534.0,16.3,2.17,0.02,11.2
1997-08-29,000088,0.94,0.94,1.09,0.9,250796,295429804.0,20.21,0.0,0.0,21.59
1997-09-05,000088,0.96,1.07,1.17,0.94,298265,366503032.0,24.47,13.83,0.13,25.67
1997-09-12,000088,1.08,1.02,1.17,1.01,194600,240224680.0,14.95,-4.67,-0.05,16.75
1997-09-19,000088,1.0,0.96,1.04,0.9,100068,114686465.0,13.73,-5.88,-0.06,8.61
1997-09-26,000088,0.96,0.78,0.96,0.65,131616,139287878.0,32.29,-18.75,-0.18,11.33
1997-09-30,000088,0.78,0.74,0.78,0.69,30474,30884954.0,11.54,-5.13,-0.04,2.62
1997-10-10,000088,0.73,0.8,0.85,0.7,60590,63715691.0,20.27,8.11,0.06,5.22
1997-10-17,000088,0.82,0.92,0.96,0.75,102910,112937042.0,26.25,15.0,0.12,8.86
1997-10-24,000088,0.93,1.0,1.11,0.87,251820,293413580.0,26.09,8.7,0.08,21.68
1997-10-31,000088,1.04,1.13,1.15,0.87,370839,440691824.0,28.0,13.0,0.13,31.92
1997-11-07,000088,1.15,1.05,1.18,1.01,270668,333199178.0,15.04,-7.08,-0.08,23.3
1997-11-14,000088,1.05,0.94,1.06,0.88,108187,124657362.0,17.14,-10.48,-0.11,9.31
1997-11-21,000088,0.95,0.83,0.98,0.83,71088,79262523.0,15.96,-11.7,-0.11,6.12
1997-11-28,000088,0.8,0.79,0.81,0.71,50960,53062081.5,12.05,-4.82,-0.04,4.39
1997-12-05,000088,0.79,0.76,0.8,0.7,47235,48537692.5,12.66,-3.8,-0.03,4.07
1997-12-12,000088,0.72,0.73,0.8,0.72,40357,41653619.0,10.53,-3.95,-0.03,3.47
1997-12-19,000088,0.76,0.67,0.78,0.66,67275,67595903.0,16.44,-8.22,-0.06,5.79
1997-12-26,000088,0.67,0.64,0.67,0.56,97611,91822993.0,16.42,-4.48,-0.03,8.4
1997-12-31,000088,0.64,0.61,0.68,0.6,37300,35988008.0,12.5,-4.69,-0.03,3.21
1998-01-09,000088,0.61,0.66,0.71,0.58,100433,96454803.0,21.31,8.2,0.05,8.64
1998-01-16,000088,0.63,0.58,0.68,0.46,83821,76941744.0,33.33,-12.12,-0.08,7.22
1998-01-23,000088,0.58,0.55,0.58,0.5,35947,32418973.5,13.79,-5.17,-0.03,3.09
1998-02-13,000088,0.61,0.59,0.66,0.58,56615,53752232.0,14.55,7.27,0.04,4.87
1998-02-20,000088,0.58,0.64,0.78,0.55,116800,115797830.0,38.98,8.47,0.05,9.35
1998-02-27,000088,0.8,0.72,0.84,0.65,232008,241706528.0,29.69,12.5,0.08,18.58
1998-03-06,000088,0.7,0.6,0.7,0.58,62533,59906784.5,16.67,-16.67,-0.12,5.01
1998-03-13,000088,0.6,0.56,0.61,0.53,37467,34460619.5,13.33,-6.67,-0.04,3.0
1998-03-20,000088,0.56,0.56,0.63,0.55,29788,27728854.0,14.29,0.0,0.0,2.39
1998-03-27,000088,0.54,0.56,0.59,0.5,42705,38690101.0,16.07,0.0,0.0,3.42
1998-04-03,000088,0.57,0.68,0.72,0.55,117626,113341748.0,30.36,21.43,0.12,9.42
1998-04-10,000088,0.7,0.73,0.8,0.64,173228,175470492.0,23.53,7.35,0.05,13.87
1998-04-17,000088,0.74,0.61,0.78,0.6,124091,123052077.0,24.66,-16.44,-0.12,9.94
1998-04-24,000088,0.58,0.56,0.63,0.55,66233,61389701.0,13.11,-8.2,-0.05,5.3
1998-04-30,000088,0.55,0.59,0.63,0.52,46911,43707369.0,19.64,5.36,0.03,3.76
1998-05-08,000088,0.59,0.63,0.7,0.56,121580,116241152.0,23.73,6.78,0.04,9.74
1998-05-15,000088,0.63,0.59,0.68,0.56,81048,75612592.0,19.05,-6.35,-0.04,6.49
1998-05-22,000088,0.59,0.58,0.61,0.53,72339,66436559.0,13.56,-1.69,-0.01,5.79
1998-05-29,000088,0.59,0.59,0.6,0.54,69252,63478456.0,10.34,1.72,0.01,5.55
1998-06-05,000088,0.58,0.56,0.64,0.54,73799,68801771.0,16.95,-5.08,-0.03,5.91
1998-06-12,000088,0.56,0.5,0.57,0.46,53349,47275642.5,19.64,-10.71,-0.06,4.27
1998-06-19,000088,0.5,0.5,0.56,0.47,51689,45844469.0,18.0,0.0,0.0,4.14
1998-06-26,000088,0.5,0.41,0.51,0.41,51743,44027992.0,20.0,-18.0,-0.09,4.14
1998-07-03,000088,0.41,0.38,0.41,0.32,38931,31195370.5,21.95,-7.32,-0.03,3.12
1998-07-10,000088,0.38,0.38,0.41,0.34,27398,22107510.25,18.42,0.0,0.0,2.19
1998-07-17,000088,0.39,0.32,0.39,0.32,27443,21770349.0,18.42,-15.79,-0.06,2.2
1998-07-24,000088,0.31,0.34,0.35,0.24,36351,27520774.0,34.38,6.25,0.02,2.91
1998-07-31,000088,0.34,0.37,0.42,0.32,48030,38964719.0,29.41,8.82,0.03,3.85
1998-08-07,000088,0.38,0.33,0.38,0.31,19421,15275128.0,18.92,-10.81,-0.04,1.56
1998-08-14,000088,0.32,0.16,0.32,0.16,26724,19275785.0,48.48,-51.52,-0.17,2.14
1998-08-21,000088,0.15,0.16,0.16,0.04,29427,19082146.62,75.0,0.0,0.0,2.36
1998-08-28,000088,0.16,0.12,0.19,0.11,27121,17804487.0,50.0,-25.0,-0.04,2.17
1998-09-04,000088,0.1,0.16,0.17,0.06,25145,16059145.75,91.67,33.33,0.04,2.01
1998-09-11,000088,0.15,0.23,0.23,0.14,52112,35268936.25,56.25,43.75,0.07,4.17
1998-09-18,000088,0.22,0.16,0.27,0.16,57829,40491104.5,47.83,-30.43,-0.07,4.63
1998-09-25,000088,0.16,0.15,0.19,0.13,26756,17765284.0,37.5,-6.25,-0.01,2.14
1998-09-30,000088,0.16,0.18,0.2,0.14,12960,8728000.75,40.0,20.0,0.03,1.04
1998-10-09,000088,0.18,0.18,0.2,0.14,20441,13728479.0,33.33,0.0,0.0,1.64
1998-10-16,000088,0.17,0.16,0.2,0.14,25509,16995716.75,33.33,-11.11,-0.02,2.04
1998-10-23,000088,0.17,0.13,0.19,0.1,25724,16868985.0,56.25,-18.75,-0.03,2.06
1998-10-30,000088,0.13,0.17,0.19,0.1,32050,20991228.0,69.23,30.77,0.04,2.57
1998-11-06,000088,0.17,0.21,0.22,0.17,51152,34883308.75,29.41,23.53,0.04,4.1
1998-11-13,000088,0.22,0.24,0.3,0.21,86253,62133273.0,42.86,14.29,0.03,6.91
1998-11-20,000088,0.24,0.21,0.28,0.2,32827,23299456.5,33.33,-12.5,-0.03,2.63
1998-11-27,000088,0.21,0.17,0.21,0.16,20327,13820554.12,23.81,-19.05,-0.04,1.63
1998-12-04,000088,0.17,0.22,0.22,0.16,29627,20202892.25,35.29,29.41,0.05,2.37
1998-12-11,000088,0.23,0.2,0.26,0.17,42901,30146828.5,40.91,-9.09,-0.02,3.44
1998-12-18,000088,0.2,0.13,0.2,0.11,18981,12380095.25,45.0,-35.0,-0.07,1.52
1998-12-25,000088,0.12,0.22,0.27,0.12,68451,48224194.25,115.38,69.23,0.09,5.48
1998-12-31,000088,0.22,0.22,0.25,0.18,39631,27784418.5,31.82,0.0,0.0,3.17
1999-01-08,000088,0.24,0.28,0.31,0.2,87339,63293762.5,50.0,27.27,0.06,6.99
1999-01-15,000088,0.28,0.27,0.33,0.24,73512,54396806.5,32.14,-3.57,-0.01,5.89
1999-01-22,000088,0.29,0.25,0.3,0.24,41301,29784090.25,22.22,-7.41,-0.02,3.31
1999-01-29,000088,0.25,0.19,0.27,0.19,34917,24347165.5,32.0,-24.0,-0.06,2.8
1999-02-05,000088,0.17,0.14,0.21,0.14,18562,12460410.75,36.84,-26.32,-0.05,1.49
1999-02-09,000088,0.14,0.17,0.17,0.13,8614,5647295.75,28.57,21.43,0.03,0.69
1999-03-05,000088,0.17,0.2,0.21,0.14,16636,11215106.12,41.18,17.65,0.03,1.33
1999-03-12,000088,0.22,0.19,0.22,0.16,18517,12582987.38,30.0,-5.0,-0.01,1.48
1999-03-19,000088,0.19,0.18,0.23,0.16,29398,20069188.25,36.84,-5.26,-0.01,2.35
1999-03-26,000088,0.19,0.18,0.22,0.17,25066,17133883.5,27.78,0.0,0.0,2.01
1999-04-02,000088,0.17,0.21,0.22,0.16,23742,16150463.0,33.33,16.67,0.03,1.9
1999-04-09,000088,0.22,0.23,0.28,0.18,61949,43774627.5,47.62,9.52,0.02,4.96
1999-04-16,000088,0.24,0.34,0.44,0.22,269711,208446484.0,95.65,47.83,0.11,21.6
1999-04-23,000088,0.34,0.32,0.39,0.24,99682,75580880.0,44.12,-5.88,-0.02,7.98
1999-04-30,000088,0.31,0.27,0.33,0.24,41141,30047434.5,28.13,-15.63,-0.05,3.29
1999-05-07,000088,0.27,0.29,0.32,0.27,28856,21464768.75,18.52,7.41,0.02,2.31
1999-05-14,000088,0.27,0.17,0.27,0.16,37594,26056009.25,37.93,-41.38,-0.12,3.01
1999-05-21,000088,0.17,0.27,0.3,0.15,40170,28462754.12,88.24,58.82,0.1,3.22
1999-05-28,000088,0.27,0.36,0.42,0.24,165813,127128350.0,66.67,33.33,0.09,13.28
1999-06-04,000088,0.36,0.33,0.41,0.28,113583,87360045.0,36.11,-8.33,-0.03,9.1
1999-06-11,000088,0.33,0.54,0.6,0.29,324587,280030474.0,93.94,63.64,0.21,25.99
1999-06-18,000088,0.55,0.56,0.68,0.48,224907,204997560.0,37.04,3.7,0.02,18.01
1999-06-24,000088,0.56,0.68,0.71,0.56,224686,212203724.0,26.79,21.43,0.12,17.99
1999-07-02,000088,0.63,0.98,1.1,0.59,623445,674119040.0,75.0,44.12,0.3,49.93
1999-07-09,000088,1.04,0.95,1.17,0.78,354337,409070720.0,39.8,-3.06,-0.03,28.38
1999-07-16,000088,0.95,0.76,0.97,0.73,115021,120199133.0,25.26,-20.0,-0.19,9.21
1999-07-23,000088,0.74,0.73,0.84,0.6,126930,127203755.0,31.58,-3.95,-0.03,10.16
1999-07-30,000088,0.73,0.68,0.77,0.65,55656,54678921.5,16.44,-6.85,-0.05,4.46
1999-08-06,000088,0.68,0.7,0.84,0.65,123076,124379377.0,27.94,2.94,0.02,9.86
1999-08-13,000088,0.71,0.64,0.73,0.63,44484,43389071.0,14.29,-8.57,-0.06,3.56
1999-08-20,000088,0.62,0.66,0.7,0.58,41519,38975608.0,18.75,3.13,0.02,3.32
1999-08-27,000088,0.68,0.66,0.72,0.62,46240,44296896.5,15.15,0.0,0.0,3.7
1999-09-03,000088,0.66,0.61,0.68,0.6,30690,28415740.5,12.12,-7.58,-0.05,2.46
1999-09-10,000088,0.61,0.63,0.71,0.55,48906,44843643.5,26.23,3.28,0.02,3.92
1999-09-17,000088,0.63,0.68,0.77,0.63,84885,82384582.0,22.22,7.94,0.05,6.8
1999-09-24,000088,0.7,0.66,0.71,0.63,26592,25113023.0,11.76,-2.94,-0.02,2.13
1999-09-30,000088,0.66,0.62,0.71,0.6,20222,18859696.75,16.67,-6.06,-0.04,1.62
1999-10-08,000088,0.63,0.59,0.63,0.58,3768,3398846.25,8.06,-4.84,-0.03,0.3
1999-10-15,000088,0.58,0.56,0.6,0.52,14983,13104976.75,13.56,-5.08,-0.03,1.2
1999-10-22,000088,0.54,0.49,0.55,0.43,25725,21440982.12,21.43,-12.5,-0.07,2.06
1999-10-29,000088,0.51,0.52,0.59,0.46,26626,23085239.75,26.53,6.12,0.03,2.13
1999-11-05,000088,0.51,0.47,0.53,0.46,11792,9901721.38,13.46,-9.62,-0.05,0.94
1999-11-12,000088,0.48,0.5,0.62,0.46,22022,18927979.25,34.04,6.38,0.03,1.76
1999-11-19,000088,0.55,0.64,0.68,0.49,88731,81204779.75,38.0,28.0,0.14,7.11
1999-11-26,000088,0.64,0.63,0.68,0.57,31230,28700266.0,17.19,-1.56,-0.01,2.5
1999-12-03,000088,0.63,0.56,0.64,0.54,18037,16030037.88,15.87,-11.11,-0.07,1.44
1999-12-10,000088,0.56,0.51,0.58,0.49,15653,13465040.0,16.07,-8.93,-0.05,1.25
1999-12-17,000088,0.52,0.5,0.59,0.48,15185,13025579.5,21.57,-1.96,-0.01,1.22
1999-12-24,000088,0.49,0.45,0.53,0.44,13118,10798704.25,18.0,-10.0,-0.05,1.05
1999-12-30,000088,0.45,0.43,0.46,0.39,14862,11798450.75,15.56,-4.44,-0.02,1.19
2000-01-07,000088,0.51,0.56,0.59,0.43,36980,31565580.0,37.21,30.23,0.13,2.96
2000-01-14,000088,0.57,0.45,0.67,0.44,76687,67081178.0,41.07,-19.64,-0.11,6.14
2000-01-21,000088,0.45,0.46,0.5,0.43,32865,26924755.5,15.56,2.22,0.01,2.63
2000-01-28,000088,0.46,0.49,0.52,0.41,65724,54015128.5,23.91,6.52,0.03,5.26
2000-02-18,000088,0.53,0.56,0.67,0.49,201840,179511650.0,36.73,14.29,0.07,16.16
2000-02-25,000088,0.56,0.49,0.66,0.48,142594,125590105.0,32.14,-12.5,-0.07,11.42
2000-03-03,000088,0.49,0.68,0.71,0.46,203157,183617051.0,51.02,38.78,0.19,16.27
2000-03-10,000088,0.71,0.58,0.73,0.53,133897,122311276.0,29.41,-14.71,-0.1,10.72
2000-03-17,000088,0.58,0.59,0.64,0.5,97120,86394629.0,24.14,1.72,0.01,7.78
2000-03-24,000088,0.51,0.76,0.85,0.51,362995,362377176.0,57.63,28.81,0.17,29.07
2000-03-31,000088,0.76,0.86,1.0,0.76,299055,319016136.0,31.58,13.16,0.1,23.95
2000-04-07,000088,0.85,1.18,1.18,0.77,520031,614565604.0,47.67,37.21,0.32,41.65
2000-04-14,000088,1.21,1.07,1.28,1.03,373673,459550716.0,21.19,-9.32,-0.11,29.92
2000-04-21,000088,1.05,1.01,1.08,0.96,125088,143369948.0,11.21,-5.61,-0.06,10.02
2000-04-28,000088,1.01,0.93,1.03,0.84,108458,119842332.0,18.81,-7.92,-0.08,8.69
2000-05-12,000088,0.93,0.76,0.98,0.73,78023,81728436.0,26.88,-18.28,-0.17,6.25
2000-05-19,000088,0.77,1.07,1.17,0.76,207768,233666516.0,53.95,40.79,0.31,16.64
2000-05-26,000088,1.11,1.11,1.24,1.02,325939,398849112.0,20.56,3.74,0.04,26.1
2000-06-02,000088,1.11,1.25,1.31,1.06,271396,337468756.0,22.52,12.61,0.14,21.73
2000-06-09,000088,1.26,1.26,1.39,1.22,327439,431523360.0,13.6,0.8,0.01,26.22
2000-06-16,000088,1.24,1.21,1.3,1.19,130121,166053770.0,8.73,-3.97,-0.05,10.42
2000-06-23,000088,1.2,1.26,1.27,1.16,102554,129724498.0,9.09,4.13,0.05,8.21
2000-06-30,000088,1.28,1.5,1.67,1.24,447881,641792332.0,34.13,19.05,0.24,35.87
2000-07-07,000088,1.48,1.49,1.56,1.39,169672,240943212.0,11.33,-0.67,-0.01,13.59
2000-07-14,000088,1.49,1.49,1.62,1.45,118827,171259449.0,11.41,0.0,0.0,9.52
2000-07-21,000088,1.48,1.55,1.61,1.45,102650,149481566.0,10.74,4.03,0.06,8.22
2000-07-28,000088,1.56,1.48,1.57,1.46,70030,100271852.0,7.1,-4.52,-0.07,5.61
2000-08-04,000088,1.48,1.44,1.53,1.43,82435,116468231.0,6.76,-2.7,-0.04,6.6
2000-08-11,000088,1.42,1.39,1.43,1.28,120494,162516264.0,10.42,-3.47,-0.05,9.65
2000-08-18,000088,1.38,1.36,1.41,1.3,54604,73688860.0,7.91,-2.16,-0.03,4.37
2000-08-25,000088,1.36,1.32,1.37,1.21,76147,100107009.0,11.76,-2.94,-0.04,6.1
2000-09-01,000088,1.33,1.24,1.43,1.24,78043,103337014.0,14.39,-6.06,-0.08,6.25
2000-09-08,000088,1.25,1.16,1.27,1.09,49208,60368171.5,14.52,-6.45,-0.08,3.94
2000-09-15,000088,1.17,1.34,1.38,1.17,82254,107643024.0,18.1,15.52,0.18,6.59
2000-09-22,000088,1.34,1.18,1.36,1.12,36602,46436232.5,17.91,-11.94,-0.16,2.93
2000-09-29,000088,1.17,1.33,1.5,1.14,59221,77290158.0,30.51,12.71,0.15,4.74
2000-10-13,000088,1.33,1.32,1.4,1.29,52127,69481889.0,8.27,-0.75,-0.01,4.17
2000-10-20,000088,1.33,1.3,1.33,1.25,25546,32950519.0,6.06,-1.52,-0.02,2.05
2000-10-27,000088,1.3,1.37,1.39,1.3,44161,58482319.0,6.92,5.38,0.07,3.54
2000-11-03,000088,1.4,1.32,1.45,1.31,44120,59336927.0,10.22,-3.65,-0.05,3.53
2000-11-10,000088,1.32,1.38,1.4,1.31,43663,58289319.0,6.82,4.55,0.06,3.5
2000-11-17,000088,1.38,1.49,1.55,1.38,131750,183452390.0,12.32,7.97,0.11,10.55
2000-11-24,000088,1.5,1.43,1.58,1.41,118429,168583076.0,11.41,-4.03,-0.06,9.48
2000-12-01,000088,1.4,1.42,1.48,1.38,42381,58392701.5,6.99,-0.7,-0.01,3.39
2000-12-08,000088,1.43,1.39,1.51,1.38,39316,54513529.0,9.15,-2.11,-0.03,3.15
2000-12-15,000088,1.38,1.41,1.48,1.38,31898,43885263.0,7.19,1.44,0.02,2.55
2000-12-22,000088,1.4,1.43,1.48,1.38,34148,46983049.5,7.09,1.42,0.02,2.73
2000-12-29,000088,1.43,1.49,1.5,1.41,58011,81463940.0,6.29,4.2,0.06,4.65
2001-01-05,000088,1.5,1.68,1.71,1.5,202385,304171504.0,14.09,12.75,0.19,16.21
2001-01-12,000088,1.7,1.74,1.84,1.65,147892,230577440.0,11.31,3.57,0.06,11.84
2001-01-19,000088,1.74,1.67,1.74,1.57,99082,149127184.0,9.77,-4.02,-0.07,7.93
2001-02-09,000088,1.57,1.56,1.67,1.45,68245,98447998.5,13.17,-6.59,-0.11,5.47
2001-02-16,000088,1.56,1.63,1.67,1.53,65934,98075036.0,8.97,4.49,0.07,5.28
2001-02-23,000088,1.62,1.61,1.67,1.5,71817,106115606.0,10.43,-1.23,-0.02,5.75
2001-03-02,000088,1.62,1.64,1.67,1.61,91567,137971650.0,3.73,1.86,0.03,7.33
2001-03-09,000088,1.64,1.69,1.77,1.64,95478,148022883.0,7.93,3.05,0.05,7.65
2001-03-16,000088,1.69,1.74,1.77,1.66,61413,94978526.0,6.51,2.96,0.05,4.92
2001-03-23,000088,1.77,1.74,1.9,1.74,158197,255711784.0,9.2,0.0,0.0,12.67
2001-03-30,000088,1.74,1.8,1.82,1.73,69064,109260694.0,5.17,3.45,0.06,5.53
2001-04-06,000088,1.81,1.78,1.86,1.73,56579,90193083.0,7.22,-1.11,-0.02,4.53
2001-04-13,000088,1.77,1.84,1.87,1.74,61053,98100250.0,7.3,3.37,0.06,4.89
2001-04-20,000088,1.86,1.78,1.88,1.77,53969,86927594.0,5.98,-3.26,-0.06,4.32
2001-04-27,000088,1.78,1.71,1.8,1.68,48514,75485943.0,6.74,-3.93,-0.07,3.89
2001-04-30,000088,1.71,1.72,1.73,1.7,4659,7193089.0,1.75,0.58,0.01,0.37
2001-05-11,000088,1.72,1.71,1.77,1.71,21731,33698683.0,3.49,-0.58,-0.01,1.74
2001-05-18,000088,1.71,1.7,1.79,1.69,37084,57702232.0,5.85,-0.58,-0.01,2.97
2001-05-25,000088,1.7,1.63,1.71,1.59,75433,113171307.0,7.06,-4.12,-0.07,6.04
2001-06-01,000088,1.64,1.6,1.65,1.57,30598,45272038.5,4.91,-1.84,-0.03,2.45
2001-06-08,000088,1.61,1.6,1.66,1.55,48645,71847672.0,6.88,0.0,0.0,3.9
2001-06-15,000088,1.6,1.64,1.71,1.6,59656,89994667.0,6.88,2.5,0.04,4.78
2001-06-22,000088,1.65,1.69,1.71,1.59,45483,68122838.0,7.32,3.05,0.05,3.64
