日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2000-09-08,000151,20.0,18.08,21.0,17.77,522079,981089232.0,41.52,132.39,10.3,74.58
2000-09-15,000151,18.2,18.07,18.69,17.95,102711,187735270.0,4.09,-0.06,-0.01,14.67
2000-09-22,000151,18.0,16.48,18.01,16.1,96711,164166528.0,10.57,-8.8,-1.59,13.82
2000-09-29,000151,16.5,16.53,16.89,16.05,51478,84779555.0,5.1,0.3,0.05,7.35
2000-10-13,000151,16.38,17.01,17.77,16.38,54334,92566108.0,8.41,2.9,0.48,7.76
2000-10-20,000151,17.01,16.99,17.1,16.42,33003,55265764.0,4.0,-0.12,-0.02,4.71
2000-10-27,000151,17.02,18.31,18.98,16.98,157281,286796776.0,11.77,7.77,1.32,22.47
2000-11-03,000151,18.42,17.84,18.8,17.73,62147,113252887.0,5.84,-2.57,-0.47,8.88
2000-11-10,000151,17.86,18.82,19.6,17.86,130942,248447868.0,9.75,5.49,0.98,18.71
2000-11-17,000151,18.95,19.53,19.98,18.8,104622,203879542.0,6.27,3.77,0.71,14.95
2000-11-24,000151,19.5,19.54,20.98,19.3,129234,262158736.0,8.6,0.05,0.01,18.46
2000-12-01,000151,19.47,21.54,21.85,19.25,151215,318503064.0,13.31,10.24,2.0,21.6
2000-12-08,000151,21.63,21.92,22.6,21.4,105716,233733908.0,5.57,1.76,0.38,15.1
2000-12-15,000151,21.95,20.7,22.2,20.66,59104,124947087.0,7.03,-5.57,-1.22,8.44
2000-12-22,000151,20.7,21.67,22.42,20.15,59730,127859166.0,10.97,4.69,0.97,8.53
2000-12-29,000151,21.93,22.83,23.09,21.68,56172,126520494.0,6.51,5.35,1.16,8.02
2001-01-05,000151,22.83,22.17,23.1,22.15,51859,117379882.0,4.16,-2.89,-0.66,7.41
2001-01-12,000151,22.1,22.21,23.57,22.0,60569,137072767.0,7.08,0.18,0.04,8.65
2001-01-19,000151,22.01,20.9,22.08,20.4,48156,100947798.0,7.56,-5.9,-1.31,6.88
2001-02-09,000151,20.9,20.09,20.99,19.0,49940,100014217.0,9.52,-3.88,-0.81,7.13
2001-02-16,000151,20.18,20.15,20.38,19.7,18181,36596434.0,3.38,0.3,0.06,2.6
2001-02-23,000151,20.15,19.97,20.38,19.3,15007,29757240.5,5.36,-0.89,-0.18,2.14
2001-03-02,000151,19.95,21.6,21.9,19.95,82890,176295392.0,9.76,8.16,1.63,11.84
2001-03-09,000151,21.69,21.42,21.87,21.25,32170,69319903.0,2.87,-0.83,-0.18,4.6
2001-03-16,000151,21.35,21.92,21.98,20.96,44001,94837935.0,4.76,2.33,0.5,6.29
2001-03-23,000151,21.69,21.11,21.91,21.08,33115,71325687.5,3.79,-3.7,-0.81,4.73
2001-03-30,000151,21.11,22.28,22.38,21.11,34353,74857750.0,6.02,5.54,1.17,4.91
2001-04-06,000151,22.35,21.28,22.55,21.19,29617,64590898.0,6.1,-4.49,-1.0,4.23
2001-04-13,000151,21.34,21.5,21.63,21.12,17145,36603072.0,2.4,1.03,0.22,2.45
2001-04-19,000151,21.53,21.8,22.58,21.5,53996,118982763.0,5.02,1.4,0.3,7.71
2001-04-27,000151,21.13,20.65,21.79,20.51,31743,66881683.0,5.87,-5.28,-1.15,4.53
2001-04-30,000151,20.5,20.73,20.78,20.5,2740,5676591.0,1.36,0.39,0.08,0.39
2001-05-11,000151,20.7,21.08,21.14,20.6,9735,20303870.0,2.6,1.69,0.35,1.39
2001-05-18,000151,21.0,22.0,22.7,20.98,35987,79221108.5,8.16,4.36,0.92,5.14
2001-05-25,000151,21.98,21.75,22.73,21.55,40388,90137579.0,5.36,-1.14,-0.25,5.77
