日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2013-09-30,000333,-8.56,-7.83,-6.79,-8.73,1388215,6114244336.0,-25.94,-4.68,-0.35,20.23
2013-10-31,000333,-7.9,-6.46,-5.82,-7.92,1820574,8505449178.0,-26.82,17.5,1.37,26.53
2013-11-29,000333,-6.62,-6.59,-6.35,-7.47,1156384,5396243250.0,-17.34,-2.01,-0.13,16.85
2013-12-31,000333,-6.82,-6.03,-5.5,-7.1,1599431,7909862213.0,-24.28,8.5,0.56,23.3
2014-01-30,000333,-6.19,-6.87,-6.08,-7.15,875423,4170615405.0,-17.74,-13.93,-0.84,12.76
2014-02-28,000333,-6.99,-8.98,-6.78,-9.3,1299093,5588945037.0,-36.68,-30.71,-2.11,18.93
2014-03-31,000333,-9.1,-7.34,-6.79,-9.11,1590712,6718144827.0,-25.84,18.26,1.64,23.18
2014-04-30,000333,-7.34,-7.32,-6.49,-7.6,2811419,12300575809.0,-15.12,0.27,0.02,16.39
2014-05-30,000333,-7.34,-7.22,-7.04,-7.96,2571069,4382511749.0,-12.57,1.37,0.1,14.98
2014-06-30,000333,-7.18,-5.95,-5.66,-7.37,3351981,6184242982.0,-23.68,17.59,1.27,19.54
2014-07-31,000333,-5.97,-4.58,-4.54,-6.39,3744485,7376128546.0,-31.09,23.03,1.37,21.82
2014-08-29,000333,-4.62,-4.16,-3.63,-4.92,3610032,7807060990.0,-28.17,9.17,0.42,21.04
2014-09-30,000333,-4.17,-5.57,-3.8,-5.69,4529347,9539761653.0,-45.43,-33.89,-1.41,20.23
2014-10-31,000333,-5.54,-4.9,-4.86,-5.9,3842746,7759779168.0,-18.67,12.03,0.67,17.17
2014-11-28,000333,-4.9,-4.09,-3.8,-5.44,5958994,12875072618.0,-33.47,16.53,0.81,26.62
2014-12-31,000333,-4.1,-0.54,1.17,-4.12,10273243,27197695152.0,-129.34,86.8,3.55,45.89
2015-01-30,000333,-0.24,1.19,3.49,-0.24,8432566,26131798080.0,-690.74,320.37,1.73,37.67
2015-02-27,000333,0.84,2.14,2.74,0.18,3347380,10187067456.0,215.13,79.83,0.95,14.95
2015-03-31,000333,2.2,3.14,4.3,0.37,5844861,18359725168.0,183.64,46.73,1.0,26.11
2015-04-30,000333,3.16,6.48,7.09,2.41,10218649,35893962080.0,149.04,106.37,3.34,45.65
2015-05-29,000333,6.47,6.5,9.5,3.92,7441902,27076577216.0,86.11,0.31,0.02,33.07
2015-06-30,000333,6.58,6.69,8.42,3.5,9491354,35318831280.0,75.69,2.92,0.19,41.93
2015-07-31,000333,6.5,3.94,8.09,1.17,11244750,38765922896.0,103.44,-41.11,-2.75,49.67
2015-08-31,000333,3.56,1.03,5.83,-2.61,6444779,19209087424.0,214.21,-73.86,-2.91,28.78
2015-09-30,000333,0.5,-1.34,1.16,-1.85,4304348,11575654936.0,292.23,-230.1,-2.37,19.22
2015-10-30,000333,-0.5,0.51,0.77,-0.5,3835483,10505940016.0,-94.78,138.06,1.85,17.13
2015-11-30,000333,0.29,-0.28,2.5,-0.72,5647031,16266844336.0,631.37,-154.9,-0.79,25.22
2015-12-31,000333,-0.26,3.72,4.7,-0.49,6034475,18463375760.0,-1853.57,1428.57,4.0,26.93
2016-01-29,000333,3.72,0.04,3.96,-1.4,4119931,11847650981.0,144.09,-98.92,-3.68,18.39
2016-02-29,000333,0.05,-0.78,0.7,-1.02,1697515,4640896190.0,4300.0,-2050.0,-0.82,7.58
2016-03-31,000333,-0.73,2.4,3.35,-0.77,3684155,10977894258.0,-528.21,407.69,3.18,16.44
2016-04-29,000333,2.5,3.24,3.34,1.51,2633179,8103477716.0,76.25,35.0,0.84,11.75
2016-05-17,000333,3.31,3.99,5.19,2.63,3538606,8460993648.0,79.01,23.15,0.75,10.52
2016-06-30,000333,5.74,6.36,6.67,4.75,6963944,16008164752.0,48.12,59.4,2.37,20.57
2016-07-29,000333,6.43,10.84,12.21,6.43,12854396,34365479072.0,90.88,70.44,4.48,37.75
2016-08-31,000333,10.68,10.04,11.79,9.04,8476887,23466427696.0,25.37,-7.38,-0.8,24.88
2016-09-30,000333,9.97,9.65,10.71,7.82,4191430,11168391736.0,28.78,-3.88,-0.39,6.83
2016-10-31,000333,9.82,9.79,9.84,8.63,3480160,9259218976.0,12.54,1.45,0.14,5.67
2016-11-30,000333,9.84,12.92,14.89,9.4,7687207,22045424224.0,56.08,31.97,3.13,12.51
2016-12-30,000333,13.94,10.81,14.84,10.14,6887109,20101107408.0,36.38,-16.33,-2.11,11.2
2017-01-26,000333,11.29,12.54,12.78,10.43,4930241,14338617024.0,21.74,16.0,1.73,7.98
2017-02-28,000333,12.34,14.5,16.11,12.04,6047830,19040133088.0,32.46,15.63,1.96,9.78
2017-03-31,000333,14.44,15.94,18.3,13.77,8279247,27813694432.0,31.24,9.93,1.44,13.38
2017-04-28,000333,15.87,16.3,17.84,14.49,7157685,24007326624.0,21.02,2.26,0.36,11.57
2017-05-31,000333,15.85,19.76,20.22,15.79,8735937,30876944592.0,27.18,21.23,3.46,13.9
2017-06-30,000333,19.8,26.68,29.03,19.44,10320907,42020101376.0,48.53,35.02,6.92,16.36
2017-07-31,000333,26.49,24.84,27.29,24.14,8467237,35521015136.0,11.81,-6.9,-1.84,13.38
2017-08-31,000333,24.85,24.64,26.23,22.31,6453886,26160913584.0,15.78,-0.81,-0.2,10.19
2017-09-29,000333,24.8,27.83,28.24,23.33,5758392,24271662288.0,19.93,12.95,3.19,9.09
