指数代码,成分股票代码,交易日期,权重
399311.SZ,600519.SH,20250829,2.5362
399311.SZ,300750.SZ,20250829,2.3668
399311.SZ,601318.SH,20250829,1.8313
399311.SZ,600036.SH,20250829,1.5684
399311.SZ,000333.SZ,20250829,1.0892
399311.SZ,300059.SZ,20250829,1.0875
399311.SZ,601166.SH,20250829,1.0577
399311.SZ,601899.SH,20250829,1.0447
399311.SZ,600900.SH,20250829,1.0239
399311.SZ,688256.SH,20250829,0.9432
399311.SZ,300502.SZ,20250829,0.9422
399311.SZ,300308.SZ,20250829,0.9221
399311.SZ,600030.SH,20250829,0.8816
399311.SZ,002594.SZ,20250829,0.8746
399311.SZ,600276.SH,20250829,0.8036
399311.SZ,601398.SH,20250829,0.7793
399311.SZ,601211.SH,20250829,0.714
399311.SZ,000858.SZ,20250829,0.7073
399311.SZ,601288.SH,20250829,0.6674
399311.SZ,688981.SH,20250829,0.6664
399311.SZ,603259.SH,20250829,0.6658
399311.SZ,002475.SZ,20250829,0.6467
399311.SZ,601138.SH,20250829,0.5601
399311.SZ,000651.SZ,20250829,0.557
399311.SZ,688041.SH,20250829,0.5382
399311.SZ,601328.SH,20250829,0.5211
399311.SZ,600887.SH,20250829,0.5131
399311.SZ,300476.SZ,20250829,0.4912
399311.SZ,600919.SH,20250829,0.4477
399311.SZ,300124.SZ,20250829,0.4473
399311.SZ,600000.SH,20250829,0.4442
399311.SZ,300274.SZ,20250829,0.4391
399311.SZ,000063.SZ,20250829,0.4351
399311.SZ,002371.SZ,20250829,0.4269
399311.SZ,000725.SZ,20250829,0.4214
399311.SZ,002714.SZ,20250829,0.4141
399311.SZ,601816.SH,20250829,0.4092
399311.SZ,300760.SZ,20250829,0.4006
399311.SZ,600111.SH,20250829,0.3972
399311.SZ,688008.SH,20250829,0.3808
399311.SZ,600031.SH,20250829,0.3772
399311.SZ,601601.SH,20250829,0.3736
399311.SZ,603501.SH,20250829,0.3569
399311.SZ,002415.SZ,20250829,0.3535
399311.SZ,600309.SH,20250829,0.3527
399311.SZ,601688.SH,20250829,0.3467
399311.SZ,601728.SH,20250829,0.341
399311.SZ,603019.SH,20250829,0.3362
399311.SZ,600016.SH,20250829,0.3219
399311.SZ,601088.SH,20250829,0.3132
399311.SZ,002230.SZ,20250829,0.311
399311.SZ,000568.SZ,20250829,0.3092
399311.SZ,600941.SH,20250829,0.3085
399311.SZ,000001.SZ,20250829,0.3069
399311.SZ,601127.SH,20250829,0.3058
399311.SZ,601668.SH,20250829,0.3049
399311.SZ,603986.SH,20250829,0.3001
399311.SZ,601857.SH,20250829,0.2993
399311.SZ,601012.SH,20250829,0.2976
399311.SZ,600690.SH,20250829,0.2964
399311.SZ,002352.SZ,20250829,0.2935
399311.SZ,300498.SZ,20250829,0.2913
399311.SZ,600660.SH,20250829,0.2907
399311.SZ,002142.SZ,20250829,0.2902
399311.SZ,688012.SH,20250829,0.2855
399311.SZ,600050.SH,20250829,0.2821
